Video,Error_RGB,Error_HSV,Error_Gray,Error_RGB_Blurred,Error_HSV_Blurred,Error_Gray_Blurred,pSNR_RGB,pSNR_HSV,pSNR_Gray,pSNR_RGB_Blurred,pSNR_HSV_Blurred,pSNR_Gray_Blurred
sub_7S.mov,9.184052,9.818402,9.03296,8.912133,9.550583,8.75709,33.88782082795209,26.901598367373857,33.56295864231636,31.442239851010644,28.589851115767825,31.415940901799363
sub_7D.mov,6.945595,8.69248,6.887613,6.7021704,8.4345045,6.640118,34.712857194972685,26.311420532391487,34.55094126641037,32.22215273603377,28.11530491555651,32.30557939970264
sub_15S.mov,6.947471,6.373939,6.92431,6.687541,6.1200924,6.6602407,35.44951404112483,28.048924724682365,35.00249353693594,32.33797268907114,30.004040656752732,32.28012543327519
sub_14S.mov,7.0949845,8.200948,7.284137,6.8360868,7.9409475,7.021575,36.05270777509353,28.116003652388155,35.58985918477637,32.79155434370079,29.994222200189252,32.74733623652282
sub_18S.mov,7.5667257,6.801228,7.4623766,7.2884235,6.5322404,7.180739,31.944239940482568,28.540189551542095,31.752513152632368,30.150281791388153,29.475375672992353,30.13442270896009
sub_6S.mov,7.4779415,6.316361,7.369167,7.1977773,6.0521507,7.0859475,34.10669587804913,29.145744353852066,33.91647670175696,31.495555562099554,29.986283316615733,31.546707215971775
sub_6D.mov,7.698442,7.0241375,7.6333427,7.4150095,6.7311482,7.346858,34.296311226491945,26.600597994395237,34.17627554610573,31.518329187126163,28.73108996644755,31.620510124810586
sub_13S.mov,6.5001216,6.1357226,6.509316,6.202342,5.8384557,6.209437,35.096224866283734,27.032133446025107,34.75284031575442,32.01945799657006,29.056106651391794,32.01871340428653
sub_13D.mov,6.363025,6.3104897,6.387609,6.087662,5.9986854,6.1105585,35.73259773857882,25.807743868542204,35.241323072816925,32.42879745737206,27.70756672300412,32.36568271414117
sub_1S.mov,6.972929,7.6647015,7.092048,6.6960044,7.392128,6.810894,35.00942616312893,28.341938604287826,34.53273919313512,32.00050535331822,29.55994629803564,31.91503784146933
sub_1D.mov,7.406187,8.683984,7.58389,7.1330028,8.400916,7.307724,30.599444458546916,26.164632278639644,30.556091195315027,29.299212397063652,27.63457869423849,29.35710461338016
sub_17.mov,6.516976,7.648143,6.6068783,6.2698917,7.390393,6.3567524,31.85102282926227,25.81534265833604,31.595842087040733,30.424188822423424,27.291300563424667,30.33881869326151
sub_12S.mov,5.978222,5.75773,6.048881,5.6741285,5.459328,5.7435584,32.72718446102783,26.43223644464794,32.60658574059181,30.735994182807687,27.671997007543823,30.78674659218781
sub_12D.mov,6.4645777,5.9866943,6.509198,6.1607037,5.69853,6.2039413,34.3142662600779,27.352294606179925,34.19206871202106,31.47616290740723,29.14172046417327,31.576648179092174
sub_11D.mov,7.289365,6.9914894,7.247402,6.9912515,6.6876736,6.94893,37.05609505209614,26.60776176812886,36.52659306910921,32.79259136800977,28.554084352088317,32.80208901456803
sub_11S.mov,6.981402,6.3255835,6.926895,6.692024,6.0508265,6.6344666,32.49723698513063,28.152820895479596,32.329584811001354,30.679338829253467,29.163149607428302,30.694441798301362
